channel,time,status,program,pitch,velo
1,16560,Note_on_c,0,59,100
1,16578,Note_off_c,0,58,100
1,16578,Note_off_c,0,59,100
1,16680,Note_on_c,0,53,100
1,16680,Note_on_c,0,53,100
1,16680,Note_on_c,0,54,100
1,16680,Note_on_c,0,54,100
1,16698,Note_off_c,0,53,100
1,16698,Note_off_c,0,54,100
1,16698,Note_off_c,0,53,100
1,16698,Note_off_c,0,54,100
1,16800,Note_on_c,1,59,100
1,16818,Note_off_c,1,59,100
1,16920,Note_on_c,0,54,100
1,16938,Note_off_c,0,54,100
1,17040,Note_on_c,0,59,100
1,17040,Note_on_c,0,68,100
1,17058,Note_off_c,0,59,100
1,17058,Note_off_c,0,68,100
1,17160,Note_on_c,0,54,100
1,17160,Note_on_c,0,54,100
1,17160,Note_on_c,1,59,100
1,17160,Note_on_c,1,59,100
1,17178,Note_off_c,0,54,100
1,17178,Note_off_c,1,59,100
1,17178,Note_off_c,0,54,100
1,17178,Note_off_c,1,59,100
1,17280,Note_on_c,0,63,100
1,17298,Note_off_c,0,63,100
1,17400,Note_on_c,0,58,100
1,17400,Note_on_c,0,58,100
1,17400,Note_on_c,0,59,100
1,17400,Note_on_c,0,59,100
1,17400,Note_on_c,1,59,100
1,17400,Note_on_c,1,59,100
1,17418,Note_off_c,0,58,100
1,17418,Note_off_c,0,59,100
1,17418,Note_off_c,1,59,100
1,17418,Note_off_c,0,58,100
1,17418,Note_off_c,0,59,100
1,17418,Note_off_c,1,59,100
1,17520,Note_on_c,0,54,100
1,17520,Note_on_c,0,58,100
1,17538,Note_off_c,0,54,100
1,17538,Note_off_c,0,58,100
1,17640,Note_on_c,0,54,100
1,17640,Note_on_c,0,54,100
1,17640,Note_on_c,1,63,100
1,17640,Note_on_c,1,63,100
1,17658,Note_off_c,0,54,100
1,17658,Note_off_c,1,63,100
1,17658,Note_off_c,0,54,100
1,17658,Note_off_c,1,63,100
1,17760,Note_on_c,0,58,100
1,17760,Note_on_c,0,59,100
1,17778,Note_off_c,0,58,100
1,17778,Note_off_c,0,59,100
1,17880,Note_on_c,0,54,100
1,17880,Note_on_c,1,55,100
1,17898,Note_off_c,0,54,100
1,17898,Note_off_c,1,55,100
1,18000,Note_on_c,0,59,100
1,18018,Note_off_c,0,59,100
1,18120,Note_on_c,0,54,100
1,18138,Note_off_c,0,54,100
1,18240,Note_on_c,0,58,100
1,18240,Note_on_c,0,59,100
1,18258,Note_off_c,0,58,100
1,18258,Note_off_c,0,59,100
